XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                            X
X                            X
X                            X
X                            X
X                            X
X       XXXXXXXXXXXXX        X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X       XXXXXXXXXXXX         X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
X                            X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
