XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
X                            X
X                            X
X      XXXXXX     XXXXXX     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X       X       X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      X               X     X
X      XXXXXX    XXXXXXX     X
X                            X
X                            X
X                            X
X                            X
X                            X
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
